image,kernel,alpha,ssim,psnr,metric,fitness,noisy,enhanced,initial_ssim,initial_psnr,improvement_ssim,improvement_psnr,processing_time,generations_converged
100007,7,0.7586559999579654,0.6526305530215675,28.419681584157548,combined,0.6273594766200424,results/100007_noisy.png,results/100007_enhanced.png,0.27771890669537524,20.329222769570187,0.3749116463261922,8.090458814587361,1.0667927265167236,5
100039,5,0.3940676307822568,0.7208853961104406,24.37010151557326,combined,0.6508403863707479,results/100039_noisy.png,results/100039_enhanced.png,0.5457963939532294,20.361295565086515,0.17508900215721113,4.008805950486746,1.0891101360321045,5
100099,7,0.4674693829103659,0.5524985738242211,27.67399800751138,combined,0.5527929897220231,results/100099_noisy.png,results/100099_enhanced.png,0.2202086326150083,20.175954180566894,0.33228994120921274,7.498043826944485,0.9932870864868164,5
10081,7,0.5963235318360522,0.6324219011001286,26.485158668274835,combined,0.601606282779739,results/10081_noisy.png,results/10081_enhanced.png,0.29169376884572157,20.253206886960456,0.34072813225440707,6.231951781314379,1.0943043231964111,5
101027,5,0.4307688736784109,0.650549185264669,24.814302963522753,combined,0.6042702474664048,results/101027_noisy.png,results/101027_enhanced.png,0.4541135140945273,20.679573349846603,0.19643567117014166,4.13472961367615,1.071446418762207,5
101084,3,0.46548761289524115,0.7189560307969035,23.843833768953036,combined,0.6463322241715506,results/101084_noisy.png,results/101084_enhanced.png,0.6018303511208098,20.44950825269371,0.11712567967609366,3.3943255162593253,1.0522077083587646,5
102062,3,0.8152839177277365,0.6991352627582808,23.066534270896376,combined,0.6277938895561748,results/102062_noisy.png,results/102062_enhanced.png,0.5933209022427441,20.330127946657434,0.10581436051553661,2.736406324238942,1.218818187713623,5
103006,5,0.5284815232106048,0.7110731345977866,24.577306769348354,combined,0.6452150348345407,results/103006_noisy.png,results/103006_enhanced.png,0.5317611987814668,20.388147545811343,0.17931193581631988,4.189159223537011,1.0421779155731201,5
103029,5,0.714425563161938,0.6618101880418258,29.267613216480367,combined,0.6388728109281602,results/103029_noisy.png,results/103029_enhanced.png,0.22410058375873382,20.31099985726071,0.43770960428309197,8.956613359219656,0.9541342258453369,5
103078,5,0.4780751827958775,0.6766129690574342,25.9183253066313,combined,0.6291390301799917,results/103078_noisy.png,results/103078_enhanced.png,0.4269267307955848,20.431278217584175,0.24968623826184938,5.487047089047124,1.0205235481262207,5
104010,3,0.7548161631308808,0.6928521106118254,26.657493437735276,combined,0.6449414380546894,results/104010_noisy.png,results/104010_enhanced.png,0.4035911204605218,20.1743017387245,0.2892609901513036,6.483191699010778,0.9635720252990723,5
104055,5,0.5570649953627461,0.5932734426505829,27.887244189847706,combined,0.5826148749944943,results/104055_noisy.png,results/104055_enhanced.png,0.25894731276695965,20.245309487379423,0.33432612988362326,7.6419347024682835,0.9854609966278076,5
105027,5,0.5457787263802463,0.6291200117233654,26.705273633782944,combined,0.6006156500090534,results/105027_noisy.png,results/105027_enhanced.png,0.3463331560843813,20.137824738528558,0.2827868556389841,6.567448895254387,0.9909000396728516,5
106005,5,0.85,0.7013076753095662,29.15272043958264,combined,0.6658316953541921,results/106005_noisy.png,results/106005_enhanced.png,0.2597109236771021,20.3401236568377,0.4415967516324641,8.81259678274494,0.927372932434082,5
106047,7,0.5287365276535009,0.6863486314050814,28.03610425621582,combined,0.6486606675208518,results/106047_noisy.png,results/106047_enhanced.png,0.30712241468121354,20.225204620023757,0.37922621672386786,7.810899636192062,1.267791748046875,5
107014,7,0.7581184299400799,0.6382908299394199,26.96555820905283,combined,0.6085969302119109,results/107014_noisy.png,results/107014_enhanced.png,0.34172415282442714,20.171258497649998,0.29656667711499274,6.794299711402832,1.134371042251587,5
107045,3,0.85,0.6718426587127259,25.349515403919476,combined,0.6223869535224249,results/107045_noisy.png,results/107045_enhanced.png,0.45451465849550965,20.215492829210476,0.2173280002172162,5.134022574709,1.0260863304138184,5
107072,3,0.5130833904709984,0.661045826350855,24.799002380852386,combined,0.6115260927307128,results/107072_noisy.png,results/107072_enhanced.png,0.4735546142003291,20.252493324212722,0.18749121215052583,4.546509056639664,1.0468385219573975,5
108004,3,0.45035871012419276,0.6980073324764521,23.953519747590253,combined,0.6323262512190579,results/108004_noisy.png,results/108004_enhanced.png,0.5618655254792428,20.18663510662922,0.13614180699720924,3.7668846409610346,1.1034905910491943,5
108036,5,0.4302222054580699,0.6978973961159554,24.879449547445184,combined,0.6378048745658398,results/108036_noisy.png,results/108036_enhanced.png,0.5006248278106944,20.336585674722535,0.19727256830526096,4.5428638727226485,1.2587664127349854,5
108069,5,0.5268476511991559,0.7496579723246953,25.380986134158068,combined,0.6770464974322351,results/108069_noisy.png,results/108069_enhanced.png,0.5100675928097195,20.378674403375356,0.23959037951497586,5.002311730782711,1.130753755569458,5
109055,5,0.8260694391214255,0.7192821525649165,24.922731866556923,combined,0.653033897994783,results/109055_noisy.png,results/109055_enhanced.png,0.42980272550245724,20.316067637245958,0.2894794270624592,4.606664229310965,1.3772287368774414,5
112056,7,0.85,0.6539936378584552,29.893299936773555,combined,0.63715534612156,results/112056_noisy.png,results/112056_enhanced.png,0.1945119568548683,20.182335881825388,0.4594816810035869,9.710964054948168,1.7607989311218262,5
112090,5,0.7766512866037895,0.6681965716075642,26.134692447627682,combined,0.624545754811061,results/112090_noisy.png,results/112090_enhanced.png,0.43037971275570147,20.26637662596075,0.2378168588518627,5.868315821666933,1.4090349674224854,5
117025,5,0.4268771853720166,0.6347401093825067,25.20096335140775,combined,0.5955238566762011,results/117025_noisy.png,results/117025_enhanced.png,0.45811667862030453,20.380054684860664,0.17662343076220216,4.820908666547087,1.6530675888061523,5
118015,7,0.7034692578091437,0.628369222812665,22.820156976035015,combined,0.5767793978250756,results/118015_noisy.png,results/118015_enhanced.png,0.4237212024407587,20.409642678252915,0.20464802037190633,2.4105142977821004,1.6578130722045898,5
118031,7,0.5605976981802615,0.616149505488804,24.105396571658172,combined,0.5759370332721118,results/118031_noisy.png,results/118031_enhanced.png,0.4428255981139015,20.31392311942508,0.1733239073749025,3.7914734522330917,1.7672662734985352,5
118072,7,0.49804281780019377,0.6467250749378218,26.006100184682424,combined,0.6087441535645698,results/118072_noisy.png,results/118072_enhanced.png,0.4243742989215799,20.557017352078336,0.22235077601624192,5.449082832604088,1.6899466514587402,5
120003,7,0.4846270316321133,0.6561177140757921,27.611700396730257,combined,0.624952602233436,results/120003_noisy.png,results/120003_enhanced.png,0.2982700591414509,20.823200075839907,0.35784765493434123,6.78850032089035,1.6314964294433594,5
120093,7,0.5274236719759966,0.6375194438667213,23.224158768905298,combined,0.5856085633201367,results/120093_noisy.png,results/120093_enhanced.png,0.4287435351904797,20.42945214778344,0.20877590867624163,2.7947066211218576,1.5511929988861084,5
123057,5,0.7010468710580134,0.6825533005366117,27.70654292655339,combined,0.6440265679349485,results/123057_noisy.png,results/123057_enhanced.png,0.3086239606762396,20.238754987179682,0.3739293398603721,7.467787939373707,1.6529278755187988,5
128035,7,0.6724476554790595,0.6612322772035384,27.26852496814967,combined,0.6264737438513748,results/128035_noisy.png,results/128035_enhanced.png,0.3133560835355181,20.287189393821773,0.3478761936680203,6.981335574327897,1.6071505546569824,5
130014,7,0.5806872954445949,0.6419121267843529,25.906118042321342,combined,0.6047751970029751,results/130014_noisy.png,results/130014_enhanced.png,0.3393656184447418,20.17751239601384,0.30254650833961116,5.7286056463075035,1.6403388977050781,5
130066,7,0.7293388672355561,0.6447404205712975,22.6580392896901,combined,0.5872665301380489,results/130066_noisy.png,results/130066_enhanced.png,0.35670578944404513,20.250337759151797,0.2880346311272524,2.4077015305383043,1.5770087242126465,5
134049,5,0.3937070672759898,0.7323356781048822,24.752577576822183,combined,0.6611504401343506,results/134049_noisy.png,results/134049_enhanced.png,0.5718624365033241,20.30588776447274,0.16047324160155807,4.446689812349444,1.6487274169921875,5
134067,5,0.32824697559204685,0.7891774572451112,23.35362496348314,combined,0.6925459698524767,results/134067_noisy.png,results/134067_enhanced.png,0.6953189756599765,20.576752103980684,0.09385848158513477,2.776872859502454,1.542147159576416,5
140006,7,0.4139727378315061,0.6210249987827889,24.590430308793803,combined,0.582260081000715,results/140006_noisy.png,results/140006_enhanced.png,0.43504766933826045,20.32847836593443,0.1859773294445285,4.261951942859373,1.4935684204101562,5
140088,5,0.7310281549928583,0.627653966087918,25.682756174162733,combined,0.593454313306519,results/140088_noisy.png,results/140088_enhanced.png,0.28925169011113394,20.64058270026347,0.3384022759767841,5.042173473899265,1.6678264141082764,5
14085,5,0.4244901068750564,0.6553237368257598,26.168243495580192,combined,0.615736076751513,results/14085_noisy.png,results/14085_enhanced.png,0.4001541060581095,20.376448844713764,0.2551696307676503,5.791794650866429,1.6677534580230713,5
14092,3,0.7239989950389728,0.6833518490791007,26.552696392308125,combined,0.6376624727092192,results/14092_noisy.png,results/14092_enhanced.png,0.418994535369975,20.389086284572812,0.26435731370912574,6.1636101077353125,1.0192675590515137,5
141012,5,0.3206371834752448,0.7403049251772109,23.80829615814369,combined,0.6610632245729098,results/141012_noisy.png,results/141012_enhanced.png,0.6058330336450156,20.410359335113327,0.1344718915321953,3.3979368230303635,1.022517442703247,5
141048,3,0.35124730412455907,0.6128092685073673,24.16099597715945,combined,0.5739324638181138,results/141048_noisy.png,results/141048_enhanced.png,0.4484688966359122,20.554432629859708,0.16434037187145506,3.6065633472997405,1.389296293258667,5
